code,name
C-18286008,Catheter ablation of tissue of heart
C-14959-1,Microalbumin Creatinine Ratio
C-849574,Naproxen sodium 220 MG Oral Tablet
C-562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
C-23426006,Measurement of respiratory function (procedure)
C-266948004,Has a criminal record (finding)
C-310965,Ibuprofen 200 MG Oral Tablet
C-64859006,Osteoporosis (disorder)
C-53741008,Coronary Heart Disease
C-55822004,Hyperlipidemia
C-274474001,Bone immobilization
C-33,pneumococcal polysaccharide vaccine  23 valent
C-904419,Alendronic acid 10 MG Oral Tablet
C-26929004,Alzheimer's disease (disorder)
C-65750-2,Drugs of abuse 5 panel - Urine by Screen method
C-278860009,Chronic low back pain (finding)
C-80583007,Severe anxiety (panic) (finding
C-68496003,Polyp of colon
C-310436,Galantamine 4 MG Oral Tablet
C-10939881000119104,Unhealthy alcohol drinking behavior (finding)
C-288086009,Suture open wound
C-117015009,Throat culture (procedure)
C-271737000,Anemia (disorder)
C-162864005,Body mass index 30+ - obesity (finding)
C-15777000,Prediabetes
C-40055000,Chronic sinusitis (disorder)
C-1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
C-1121000119107,Chronic neck pain (finding)
C-2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma
C-410006001,Digital examination of rectum
C-274031008,Rectal polypectomy
C-126906006,Neoplasm of prostate
C-104435004,Screening for occult blood in feces (procedure)
C-33756-8,Polyp size greatest dimension by CAP cancer protocols
C-57905-2,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method
C-1860480,1 ML DOCEtaxel 20 MG/ML Injection
C-752899,0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe
C-92691004,Carcinoma in situ of prostate (disorder)
C-43878008,Streptococcal sore throat (disorder)
C-200619008,Comprehensive interview and evaluation (procedure)
C-417511005,Referral to home health care service (procedure)
C-711069006,Coordination of care plan (procedure)
C-399208008,Plain chest X-ray (procedure)
C-245314,albuterol 5 MG/ML Inhalation Solution
C-896209,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler
C-269911007,Sputum examination (procedure)
C-229064008,Movement therapy (regime/therapy)
C-856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
C-44465007,Sprain of ankle
C-90226004,Cytopathology procedure  preparation of smear  genital source
C-65966004,Fracture of forearm
C-305428000,Admission to orthopedic department
C-834102,Penicillin V Potassium 500 MG Oral Tablet
C-1225002,Upper arm X-ray
C-443165006,Pathological fracture due to osteoporosis (disorder)
C-996740,Memantine hydrochloride 2 MG/ML Oral Solution
C-861467,Meperidine Hydrochloride 50 MG Oral Tablet
C-1049221,Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet
C-133,Pneumococcal conjugate PCV 13
C-46288-7,US Guidance for biopsy of Prostate
C-65575008,Biopsy of prostate
C-392091000,Care regimes assessment (procedure)
C-5880005,Physical examination following birth
C-20454-5,Protein [Presence] in Urine by Test strip
C-20505-4,Bilirubin.total [Mass/volume] in Urine by Test strip
C-2514-8,Ketones [Presence] in Urine by Test strip
C-25428-4,Glucose [Presence] in Urine by Test strip
C-32167-9,Clarity of Urine
C-5767-9,Appearance of Urine
C-5770-3,Bilirubin.total [Presence] in Urine by Test strip
C-5778-6,Color of Urine
C-5792-7,Glucose [Mass/volume] in Urine by Test strip
C-5794-3,Hemoglobin [Presence] in Urine by Test strip
C-5797-6,Ketones [Mass/volume] in Urine by Test strip
C-5799-2,Leukocyte esterase [Presence] in Urine by Test strip
C-5802-4,Nitrite [Presence] in Urine by Test strip
C-5803-2,pH of Urine by Test strip
C-5804-0,Protein [Mass/volume] in Urine by Test strip
C-5811-5,Specific gravity of Urine by Test strip
C-72892002,Normal pregnancy
C-127783003,Spirometry (procedure)
C-19926-5,FEV1/FVC
C-169230002,Ultrasound scan for fetal viability
C-252160004,Standard pregnancy test
C-36971009,Sinusitis (disorder)
C-75498004,Acute bacterial sinusitis (disorder)
C-385781007,Home health aide service (regime/therapy)
C-19169002,Miscarriage in first trimester
C-2123111,NDA020503 200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
C-895994,120 ACTUAT Fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler
C-71651007,Mammography (procedure)
C-40701008,Echocardiography (procedure)
C-225158009,Auscultation of the fetal heart
C-274804006,Evaluation of uterine fundal height
C-104091002,Hemoglobin / Hematocrit / Platelet count
C-443529005,Screening for chromosomal aneuploidy in prenatal amniotic fluid
C-104326007,Measurement of Varicella-zoster virus antibody
C-104375008,Hepatitis C antibody test
C-117010004,Urine culture
C-165829005,Gonorrhea infection test
C-167271000,Urine protein test
C-169690007,Rubella screening
C-269828009,Syphilis infection test
C-28163009,Skin test for tuberculosis
C-310861008,Chlamydia antigen test
C-31676001,Human immunodeficiency virus antigen test
C-395123002,Urine screening test for diabetes
C-44608003,Blood typing  RH typing
C-47758006,Hepatitis B Surface Antigen Measurement
C-58150001,Fracture of clavicle
C-857005,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet
C-271442007,Fetal anatomy study
C-275833003,Alpha-fetoprotein test
C-268556000,Urine screening for glucose
C-399014008,Vaccination for diphtheria  pertussis  and tetanus
C-168594001,Clavicle X-ray
C-118001005,Streptococcus pneumoniae group B antigen test
C-239873007,Osteoarthritis of knee
C-62106007,Concussion with no loss of consciousness
C-263102004,Fracture subluxation of wrist
C-55680006,Drug overdose
C-713197008,Recurrent rectal polyp
C-16114001,Fracture of ankle
C-66348005,Childbirth
C-60027007,X-ray or wrist
C-19490002,Ankle X-ray
C-20570-8,Hematocrit [Volume Fraction] of Blood
C-39848009,Whiplash injury to neck
C-17861-6,Calcium
C-2028-9,Carbon Dioxide
C-2075-0,Chloride [Moles/volume] in Serum or Plasma
C-2160-0,Creatinine
C-2345-7,Glucose [Mass/volume] in Serum or Plasma
C-2823-3,Potassium [Moles/volume] in Serum or Plasma
C-2951-2,Sodium [Moles/volume] in Serum or Plasma
C-3094-0,Urea Nitrogen
C-209387,Acetaminophen 325 MG Oral Tablet [Tylenol]
C-361055000,Misuses drugs (finding)
C-29303009,Electrocardiographic procedure
C-14768001,Peripheral blood smear interpretation
C-162676008,Brief general examination (procedure)
C-415300000,Review of systems (procedure)
C-2276-4,Ferritin [Mass/volume] in Serum or Plasma
C-788-0,Erythrocyte distribution width [Ratio] by Automated count
C-89579-7,Troponin I.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method
C-206905,Ibuprofen 400 MG Oral Tablet [Ibu]
C-208,SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  30 mcg/0.3mL dose
C-313988,Furosemide 40 MG Oral Tablet
C-10230-1,Left ventricular Ejection fraction
C-224299000,Received higher education (finding)
C-88805009,Chronic congestive heart failure (disorder)
C-19123-9,Magnesium [Mass/volume] in Serum or Plasma
C-2498-4,Iron [Mass/volume] in Serum or Plasma
C-2500-7,Iron binding capacity [Mass/volume] in Serum or Plasma
C-2502-3,Iron saturation [Mass Fraction] in Serum or Plasma
C-33762-6,NT-proBNP
C-52,Hep A  adult
C-762998009,Assessment using New York Heart Association Classification (procedure)
C-88020-3,Functional capacity NYHA
C-88021-1,Objective assessment of cardiovascular disease NYHA
C-15081005,Pulmonary rehabilitation (regime/therapy)
C-70704007,Sprain of wrist
C-127013003,Diabetic renal disease (disorder)
C-90470006,Prostatectomy
C-82423001,Chronic pain
C-121,zoster
C-196416002,Impacted molars
C-124171000119105,Chronic intractable migraine without aura
C-431855005,Chronic kidney disease stage 1 (disorder)
C-207,SARS-COV-2 (COVID-19) vaccine  mRNA  spike protein  LNP  preservative free  100 mcg/0.5mL dose
C-302870006,Hypertriglyceridemia (disorder)
C-237602007,Metabolic syndrome X (disorder)
C-283371005,Laceration of forearm
C-1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]
C-446654005,Refugee (person)
C-370247008,Facial laceration
C-359817006,Closed fracture of hip
C-284551006,Laceration of foot
C-268425006,Pelvis X-ray
C-703423002,Combined chemotherapy and radiation therapy (procedure)
C-44054006,Diabetes
C-65200003,Insertion of intrauterine contraceptive device
C-35025007,Manual pelvic examination (procedure)
C-308182,Amoxicillin 250 MG Oral Capsule
C-65363002,Otitis media
C-2708-6,Oxygen saturation in Arterial blood
C-235389,Mestranol / Norethynodrel [Enovid]
C-284549007,Laceration of hand
C-384700001,Injection of tetanus antitoxin
C-1736776,10 ML oxaliplatin 5 MG/ML Injection
C-1803932,Leucovorin 100 MG Injection
C-254837009,Malignant neoplasm of breast (disorder)
C-283385000,Laceration of thigh
C-1599803,24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule
C-33737001,Fracture of rib
C-59621000,Hypertension
C-368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
C-228557008,Cognitive and behavioral therapy (regime/therapy)
C-68254000,Removal of intrauterine device
C-203082005,Fibromyalgia (disorder)
C-371908008,Oxygen administration by mask (procedure)
C-431182000,Placing subject in prone position (procedure)
C-201834006,Localized  primary osteoarthritis of the hand
C-1094107,Phenazopyridine hydrochloride 100 MG Oral Tablet
C-311989,Nitrofurantoin 5 MG/ML Oral Suspension
C-1719286,10 ML Furosemide 10 MG/ML Injection
C-200033,carvedilol 25 MG Oral Tablet
C-5251000175109,Received certificate of high school equivalency (finding)
C-243670,Aspirin 81 MG Oral Tablet
C-410429000,Cardiac Arrest
C-423475008,Heart failure education (procedure)
C-429007001,History of cardiac arrest (situation)
C-245134,72 HR Fentanyl 0.025 MG/HR Transdermal System
C-85548006,Episiotomy
C-1860491,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule
C-403190006,First degree burn
C-80394007,Hyperglycemia (disorder)
C-997223,Donepezil hydrochloride 10 MG Oral Tablet
C-2001499,Vitamin B 12 5 MG/ML Injectable Solution
C-74016001,Knee X-ray
C-835603,tramadol hydrochloride 50 MG Oral Tablet
C-1100184,Donepezil hydrochloride 23 MG Oral Tablet
C-162573006,Suspected lung cancer (situation)
C-418891003,Computed tomography of chest and abdomen
C-749882,Norinyl 1+50 28 Day Pack
C-1736854,Cisplatin 50 MG Injection
C-310325,ferrous sulfate 325 MG Oral Tablet
C-698354004,Magnetic resonance imaging for measurement of brain volume (procedure)
C-403191005,Second degree burn
C-422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder)
C-1860154,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet
C-169553002,Insertion of subcutaneous contraceptive
C-314077,lisinopril 20 MG Oral Tablet
C-43075005,Partial resection of colon
C-979492,losartan potassium 50 MG Oral Tablet
C-239872002,Osteoarthritis of hip
C-583214,PACLitaxel 100 MG Injection
C-76601001,Intramuscular injection
C-1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]
C-65546002,Extraction of wisdom tooth
C-10383002,Counseling for termination of pregnancy
C-254637007,Non-small cell lung cancer (disorder)
C-386394001,Pregnancy termination care
C-46706006,Replacement of contraceptive intrauterine device
C-714812005,Induced termination of pregnancy
C-88040-1,Response to cancer treatment
C-424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder)
C-428251008,History of appendectomy
C-74400008,Appendicitis
C-18946005,Epidural anesthesia
C-87433001,Pulmonary emphysema (disorder)
C-301011002,Escherichia coli urinary tract infection
C-699253003,Surgical manipulation of joint of knee
C-28245-9,Abuse Status [OMAHA]
C-311791003,Information gathering (procedure)
C-55277-8,HIV status
C-63513-6,Are you covered by health insurance or some other kind of health care plan [PhenX]
C-71802-3,Housing status
C-156073000,Fetus with unknown complication
C-185086009,Chronic obstructive bronchitis (disorder)
C-307731004,Injury of tendon of the rotator cuff of shoulder
C-449868002,Smokes tobacco daily
C-198014,Naproxen 500 MG Oral Tablet
C-993770,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet
C-1659131,piperacillin 2000 MG / tazobactam 250 MG Injection
C-1807510,150 ML vancomycin 5 MG/ML Injection
C-22298006,Myocardial Infarction
C-399211009,History of myocardial infarction (situation)
C-91302008,Sepsis (disorder)
C-265764009,Renal dialysis (procedure)
C-76164006,Biopsy of colon
C-1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection
C-1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)
C-198031,24hr nicotine transdermal patch
C-205923,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen]
C-31208007,Medical induction of labor
C-160968000,Risk activity involvement (finding)
C-83664006,Idiopathic atrophic hypothyroidism
C-966222,Levothyroxine Sodium 0.075 MG Oral Tablet
C-180256009,Subcutaneous immunotherapy
C-105531004,Housing unsatisfactory (finding)
C-51116004,RhD passive immunization
C-5602001,Opioid abuse (disorder)
C-395142003,Allergy screening test
C-6075-6,Cladosporium herbarum IgE Ab in Serum
C-6082-2,Codfish IgE Ab in Serum
C-6085-5,Common Ragweed IgE Ab in Serum
C-6095-4,American house dust mite IgE Ab in Serum
C-6106-9,Egg white IgE Ab in Serum
C-6158-0,Latex IgE Ab in Serum
C-6189-5,White oak IgE Ab in Serum
C-6206-7,Peanut IgE Ab in Serum
C-6246-3,Shrimp IgE Ab in Serum
C-6248-9,Soybean IgE Ab in Serum
C-6273-7,Walnut IgE Ab in Serum
C-6276-0,Wheat IgE Ab in Serum
C-6833-8,Cat dander IgE Ab in Serum
C-6844-5,Honey bee IgE Ab in Serum
C-7258-7,Cow milk IgE Ab in Serum
C-389221,Etonogestrel 68 MG Drug Implant
C-749785,Ortho Tri-Cyclen 28 Day Pack
C-11466000,Cesarean section
C-32911000,Homeless (finding)
C-59576-9,Body mass index (BMI) [Percentile] Per age and gender
C-301807007,Removal of subcutaneous contraceptive
C-122548005,Biopsy of breast (procedure)
C-21908-9,Stage group.clinical Cancer
C-433114000,Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure)
C-434363004,Human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridization (procedure)
C-757594,Jolivette 28 Day Pack
C-79586000,Tubal pregnancy
C-85318-4,HER2 [Presence] in Breast cancer specimen by FISH
C-85319-2,HER2 [Presence] in Breast cancer specimen by Immune stain
C-85337-4,Estrogen receptor Ag [Presence] in Breast cancer specimen by Immune stain
C-85339-0,Progesterone receptor Ag [Presence] in Breast cancer specimen by Immune stain
C-62564004,Concussion with loss of consciousness
C-169673001,Antenatal RhD antibody screening
C-266934004,Transport problems (finding)
C-59557-9,Treatment status Cancer
C-109838007,Overlapping malignant neoplasm of colon
C-363406005,Malignant tumor of colon
C-224295006,Only received primary school education (finding)
C-97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)
C-38822007,Cystitis
C-807283,Mirena 52 MG Intrauterine System
C-230265002,Familial Alzheimer's disease of early onset (disorder)
C-713458007,Lack of access to transportation (finding)
C-76746007,Cardiovascular stress testing (procedure)
C-237001001,Augmentation of labor
C-7200002,Alcoholism
C-197319,Allopurinol 100 MG Oral Tablet
C-831533,Errin 28 Day Pack
C-232717009,Coronary artery bypass grafting
C-236974004,Instrumental delivery
C-309097,Cefuroxime 250 MG Oral Tablet
C-415070008,Percutaneous coronary intervention
C-1190795,Atropine Sulfate 1 MG/ML Injectable Solution
C-1660014,1 ML Epinephrine 1 MG/ML Injection
C-447365002,Insertion of biventricular implantable cardioverter defibrillator
C-834357,3 ML Amiodarone hydrocholoride 50 MG/ML Prefilled Syringe
C-833036,Captopril 25 MG Oral Tablet
C-287664005,Bilateral tubal ligation
C-314994000,Metastasis from malignant tumor of prostate (disorder)
C-35999006,Blighted ovum
C-979485,losartan potassium 25 MG Oral Tablet
C-1571000087109,Ultrasonography of bilateral breasts (procedure)
C-43,Hep B  adult
C-261352009,Face mask (physical object)
C-840539006,COVID-19
C-840544004,Suspected COVID-19
C-868187001,Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure)
C-94531-1,SARS-CoV-2 RNA Pnl Resp NAA+probe
C-386516004,Anticipatory guidance (procedure)
C-90560007,Gout
C-748962,Camila 28 Day Pack
C-259255,Atorvastatin 80 MG Oral Tablet
C-24623002,Screening mammography (procedure)
C-73438004,Unemployed (finding)
C-748856,Yaz 28 Day Pack
C-93761005,Primary malignant neoplasm of colon
C-386661006,Fever (finding)
C-1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)
C-444448004,Injury of medial collateral ligament of knee
C-90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
C-183418007,Social case work (regime/therapy)
C-398254007,Preeclampsia
C-392021009,Lumpectomy of breast (procedure)
C-431856006,Chronic kidney disease stage 2 (disorder)
C-10480-2,Estrogen+Progesterone receptor Ag [Presence] in Tissue by Immune stain
C-1366343,Levonorgestrel 0.00354 MG/HR Drug Implant
C-367336001,Chemotherapy (procedure)
C-427419006,Transformed migraine (disorder)
C-198240,Tamoxifen 10 MG Oral Tablet
C-751905,Trinessa 28 Day Pack
C-112790001,Nasal sinus endoscopy (procedure)
C-167995008,Sputum microscopy (procedure)
C-432231006,Fine needle aspiration biopsy of lung (procedure)
C-1656354,sacubitril 97 MG / valsartan 103 MG Oral Tablet
C-224355006,Served in armed forces (finding)
C-30832001,Rupture of patellar tendon
C-47693006,Rupture of appendix
C-978950,Natazia 28 Day Pack
C-128613002,Seizure disorder
C-703151001,History of single seizure (situation)
C-749762,Seasonique 91 Day Pack
C-92130-4,Rhinovirus RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92131-2,Respiratory syncytial virus RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92134-6,Human metapneumovirus RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92138-7,Parainfluenza virus 3 RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92139-5,Parainfluenza virus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92140-3,Parainfluenza virus 1 RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92141-1,Influenza virus B RNA [Presence] in Respiratory specimen by NAA with probe detection
C-92142-9,Influenza virus A RNA [Presence] in Respiratory specimen by NAA with probe detection
C-94040-3,Adenovirus A+B+C+D+E DNA [Presence] in Respiratory specimen by NAA with probe detection
C-65588006,Premature birth of newborn
C-1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal Ring
C-173160006,Diagnostic fiberoptic bronchoscopy (procedure)
C-198992004,Antepartum eclampsia
C-313185,Tacrine 10 MG Oral Capsule
C-197927001,Recurrent urinary tract infection
C-49727002,Cough (finding)
C-69031006,Excision of breast tissue (procedure)
C-80146002,Appendectomy
C-95417003,Primary fibromyalgia syndrome
C-1659149,Piperacillin 4000 MG / tazobactam 500 MG Injection
C-1659263,1 ML heparin sodium  porcine 5000 UNT/ML Injection
C-1234995,Rocuronium bromide 10 MG/ML Injectable Solution
C-1359133,Estrostep Fe 28 Day Pack
C-1732136,1 ML Morphine Sulfate 5 MG/ML Injection
C-1740467,2 ML Ondansetron 2 MG/ML Injection
C-1808217,100 ML Propofol 10 MG/ML Injection
C-235919008,Cholelithiasis
C-239720000,Tear of meniscus of knee
C-241055006,Mammogram - symptomatic (procedure)
C-242969,4 ML norepinephrine 1 MG/ML Injection
C-26453-1,Red Blood Cell
C-26464-8,White Blood Cell (Elevated)
C-26515-7,Platelet Count
C-30385-9,RBC Distribution Width
C-30428-7,MCV
C-313002,Sodium Chloride 9 MG/ML Injectable Solution
C-33037-3,Anion Gap
C-33195004,Teleradiotherapy procedure (procedure)
C-426701000119108,Ultrasonography of abdomen  right upper quadrant and epigastrium
C-42719-5,Total Bilirubin (Elevated)
C-444470001,Injury of anterior cruciate ligament
C-52765003,Intubation
C-65275009,Acute Cholecystitis
C-311700,Midazolam 1 MG/ML Injectable Solution
C-45595009,Laparoscopic Removal of Gall Bladder
C-311995,NITROFURANTOIN  MACROCRYSTALS 50 MG Oral Capsule
C-833135,Milnacipran hydrochloride 100 MG Oral Tablet
C-16335031000119103,High resolution computed tomography of chest without contrast (procedure)
C-1734340,Etoposide 100 MG Injection
C-254632001,Small cell carcinoma of lung (disorder)
C-36955009,Loss of taste (finding)
C-398171003,Hearing examination (procedure)
C-67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder)
C-91602002,Thoracentesis (procedure)
C-69896004,Rheumatoid arthritis
C-197541,Colchicine 0.6 MG Oral Tablet
C-106258,Hydrocortisone 10 MG/ML Topical Cream
C-236077008,Protracted diarrhea
C-241615005,Magnetic resonance imaging of breast (procedure)
C-6072007,Bleeding from anus
C-2713-6,Oxygen Saturation
C-3016-3,Thyrotropin [Units/volume] in Serum or Plasma
C-3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma
C-430701006,Resuscitation using intravenous fluid (procedure)
C-449214001,Transfer to stepdown unit (procedure)
C-44963-7,Capillary refill [Time] of Nail bed
C-542347,Isoflurane 999 MG/ML Inhalant Solution
C-59032-3,Lactate [Mass/volume] in Blood
C-748879,Levora 0.15/30 28 Day Pack
C-8478-0,Mean blood pressure
C-88262-1,Gram positive blood culture panel by Probe in Positive blood culture
C-84229001,Fatigue (finding)
C-1534809,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System
C-212,SARS-COV-2 (COVID-19) vaccine  vector non-replicating  recombinant spike protein-Ad26  preservative free  0.5 mL
C-248595008,Sputum finding (finding)
C-351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
C-483438,pregabalin 100 MG Oral Capsule
C-596926,duloxetine 20 MG Delayed Release Oral Capsule
C-114,meningococcal MCV4P
C-180207008,Intravenous blood transfusion of packed cells (procedure)
C-275272006,Brain damage - traumatic
C-312938,Sertraline 100 MG Oral Tablet
C-408919008,Psychosocial care (regime/therapy)
C-309043,12 HR Cefaclor 500 MG Extended Release Oral Tablet
C-370995009,Health risks education (procedure)
C-385798007,Radiation therapy care (regime/therapy)
C-84757009,Epilepsy
C-234262008,Excision of axillary lymph node (procedure)
C-80382-5,Influenza virus A Ag [Presence] in Nasopharynx by Rapid immunoassay
C-80383-3,Influenza virus B Ag [Presence] in Nasopharynx by Rapid immunoassay
C-110030002,Concussion injury of brain
C-22523008,Vasectomy
C-262574004,Bullet wound
C-396487001,Sentinel lymph node biopsy (procedure)
C-443497002,Excision of sentinel lymph node (procedure)
C-54550000,Seizure Count Cerebral Cortex Electroencephalogram (EEG)
C-76571007,Septic shock (disorder)
C-856980,Acetaminophen/Hydrocodone
C-1601380,palbociclib 100 MG Oral Capsule
C-236931002,Methotrexate injection into tubal pregnancy
C-27942005,Shock (disorder)
C-305433001,Admission to trauma surgery department
C-308971,Carbamazepine[Tegretol]
C-1649987,doxycycline hyclate 100 MG
C-1729584,remifentanil 2 MG Injection
C-197591,Diazepam 5 MG Oral Tablet
C-429609002,Lung volume reduction surgery (procedure)
C-105585,Methotrexate 2.5 MG Oral Tablet
C-1732186,100 ML Epirubicin Hydrochloride 2 MG/ML Injection
C-182777000,Monitoring of patient (regime/therapy)
C-2119714,5 ML hyaluronidase-oysk 2000 UNT/ML / trastuzumab 120 MG/ML Injection
